first_name,last_name,email,phone,date_of_birth,country,registration_date,last_login,total_orders,total_spent,loyalty_tier,preferred_category,is_active,marketing_consent
Tony,Francis,garciaadam@example.org,(898)698-0545,1969-02-27,Algeria,2022-06-20,2025-04-16 05:34:54,8.15475376452315,29568.860085523633,Gold,Beauty,True,True
Christine,Edwards,patricksanders@example.net,6146223669,1945-09-08,Philippines,2023-08-26,2024-09-24 07:43:50,13.274134004466498,19674.155591017137,Platinum,Electronics,True,True
Alexandria,Lin,gilmoreandrew@example.net,366-227-8836,1986-05-25,Jordan,2023-02-17,2025-03-23 20:07:19,46.15576301282432,29066.94694983989,Bronze,Home & Garden,True,False
Matthew,Scott,wallison@example.org,460.425.7908,1996-01-22,Guinea,2025-07-15,2025-06-05 18:46:31,2.1924108350852727,17260.230366150587,Gold,Electronics,False,False
Dillon,Walsh,sheilaparrish@example.net,440.412.3937,1960-10-05,Dominica,2025-05-13,2025-08-27 02:58:53,88.90352263092105,25456.568097826483,Bronze,Electronics,False,False
Erin,Novak,smithalexandra@example.org,+1-739-249-3260x0764,1961-06-19,Burkina Faso,2024-04-13,2025-04-08 21:30:52,12.368506566275848,12279.785100798383,Platinum,Books,False,False
James,Rodriguez,johnbrock@example.org,001-592-692-1640x926,1947-04-05,Congo,2021-10-11,2025-03-27 11:18:52,35.485310914165375,26685.83153589311,Gold,Books,False,True
Kenneth,Campos,harnold@example.com,001-821-764-6812x00432,1981-02-18,Comoros,2023-11-25,2025-04-20 11:03:26,85.11354733702733,43181.41888622032,Platinum,Electronics,True,True
Mary,Campbell,eric68@example.org,925-208-3604x1060,1983-12-20,Brunei Darussalam,2021-08-01,2025-07-24 14:48:27,82.06911518531736,14778.833197461998,Gold,Books,False,True
Patricia,Salazar,agarcia@example.org,(848)747-8756,1984-01-24,United Arab Emirates,2024-11-27,2025-09-04 02:58:02,92.81740757971572,9357.506113947262,Silver,Clothing,False,False
Dylan,Robinson,lindsaygriffith@example.net,4369459127,1963-08-06,Iran,2025-06-28,2025-01-31 12:40:26,29.457153554337925,37488.85567583391,Bronze,Books,False,False
Sean,Murray,beckynash@example.net,(498)481-1012x4071,1989-05-21,Pakistan,2025-04-06,2025-05-30 01:04:53,34.801632133852436,21132.77693700141,Silver,Sports,False,False
Michael,Massey,urobinson@example.net,+1-851-609-4834x109,1944-12-23,Western Sahara,2021-07-08,2025-06-30 18:39:28,46.07592621805398,5200.135343795055,Gold,Beauty,True,True
Jesse,Luna,chandlerjonathan@example.com,001-312-236-8711x690,1951-11-03,Lebanon,2024-01-31,2024-10-12 10:28:45,62.630629866158216,4148.912072931702,Platinum,Beauty,False,True
Cathy,Harmon,perryashley@example.net,001-564-596-9943x09700,2000-06-16,Serbia,2023-08-01,2025-06-28 11:42:46,98.04499995267929,40995.69875787464,Silver,Books,True,False
Amber,Burton,kevin68@example.org,512.496.9404x291,1974-12-20,Guadeloupe,2023-10-10,2025-01-06 20:09:12,93.4848643991101,42895.90931454528,Platinum,Home & Garden,True,True
Alexandria,Zhang,tracyjones@example.com,(695)527-3410x98747,1959-03-11,Guadeloupe,2022-03-22,2025-07-25 02:52:38,77.40348287993628,34458.64331228054,Gold,Clothing,False,False
Tina,Everett,juliaharris@example.org,+1-428-404-7345,2001-06-22,Brazil,2024-06-14,2025-01-09 13:55:05,76.40774607860382,9431.753666352653,Silver,Automotive,False,False
Tom,Harris,ann89@example.net,286.373.5143x0675,1986-09-22,Seychelles,2024-09-07,2024-09-22 18:17:56,3.773342979261068,34800.50613269813,Platinum,Electronics,False,False
Karen,Franklin,aaron16@example.com,582-773-8932,1987-09-08,Malta,2024-02-04,2025-09-13 04:22:30,-0.9400427824640976,33190.53712845859,Silver,Clothing,False,False
Mathew,Wade,aalexander@example.net,+1-252-889-9952x0446,1965-06-24,Mozambique,2021-05-16,2025-01-02 18:59:24,66.72710454191063,761.2320728743748,Gold,Electronics,False,True
Christopher,Smith,pameladaugherty@example.net,+1-295-899-8920x093,1950-09-11,Libyan Arab Jamahiriya,2022-08-30,2025-04-30 19:44:57,39.056818076654814,15482.185487678757,Silver,Sports,True,True
Tara,Foster,uwilliams@example.com,(844)598-3176x3305,1972-02-23,Mozambique,2022-05-06,2025-08-29 05:09:20,49.48725755482502,48451.58117900391,Gold,Home & Garden,False,True
Danielle,Goodwin,emilygriffin@example.com,8549340728,2004-10-13,Lebanon,2022-01-03,2025-09-05 12:40:14,18.62472390011341,30102.17101411944,Silver,Automotive,True,True
Jerry,Cummings,justin54@example.org,(851)777-3982,1995-08-03,Comoros,2023-03-28,2025-01-13 12:39:48,95.96356838790587,16269.39713647724,Silver,Sports,True,True
Danielle,Sanchez,craig22@example.org,001-857-686-5198,1987-04-30,El Salvador,2021-02-26,2025-03-15 02:25:09,69.4579963224969,6305.541517706012,Bronze,Food & Beverage,True,True
Michael,Cabrera,donald87@example.org,589.295.5505x3270,1954-10-20,Russian Federation,2022-09-08,2024-11-16 14:28:26,4.22500877132911,8860.657109091522,Bronze,Automotive,True,False
Ronald,Anderson,kenneth67@example.org,001-649-646-6189x9936,2001-07-25,Trinidad and Tobago,2022-06-15,2024-10-19 23:14:34,18.1994592595656,24680.696434099704,Gold,Beauty,True,True
Monica,Torres,swells@example.net,001-261-463-5167x985,1955-01-16,Portugal,2021-07-08,2025-05-27 05:39:57,96.89188382534965,19152.242614273717,Silver,Beauty,False,False
Jonathan,Nguyen,zsmith@example.net,+1-488-337-5445x85201,1998-08-17,Antigua and Barbuda,2023-08-05,2024-10-30 13:38:36,25.596056318792552,5480.989758893362,Gold,Clothing,False,False
Angie,Harris,vbutler@example.org,2653608425,1966-05-08,Tajikistan,2022-02-21,2024-12-30 15:46:41,18.85565934964941,17337.203244038963,Bronze,Beauty,True,True
Brittany,Compton,jillwoods@example.com,+1-773-647-4703x17371,1945-11-01,Liberia,2024-12-08,2025-06-09 02:37:40,52.497814074432,26666.358799987935,Platinum,Books,True,True
Sharon,Bryan,jonesandrew@example.org,(899)975-6202x01861,1971-10-31,Cocos (Keeling) Islands,2024-12-29,2025-01-12 16:02:51,73.3278330498651,22958.311584858842,Gold,Sports,False,False
David,Newman,scotttheresa@example.org,(220)597-3244x8563,1948-09-02,Paraguay,2025-06-09,2025-07-17 05:53:41,33.01363757018788,28747.210080316774,Silver,Sports,False,True
Amanda,Salinas,crystalmorales@example.net,(552)588-4115x2023,1949-04-05,Lesotho,2023-08-24,2025-07-18 14:51:28,81.60103790086798,16760.527403373675,Gold,Beauty,True,False
Angela,Rodriguez,orozcochristopher@example.com,(951)702-5019,2003-04-13,El Salvador,2024-01-14,2025-03-11 16:15:00,53.90509227243936,41013.55526580771,Bronze,Electronics,True,True
David,Sanchez,shari00@example.net,+1-516-437-8797x32009,1968-02-01,United Arab Emirates,2024-05-12,2024-10-07 20:28:40,5.626412022337682,37472.521833279534,Bronze,Electronics,True,True
Michelle,Alvarado,johncollins@example.org,700.412.8107,2000-06-20,American Samoa,2021-02-21,2025-03-20 21:36:21,45.46430432517318,5389.487616243961,Silver,Automotive,False,True
Natalie,Hill,smithdenise@example.net,795-909-1449x3162,1962-09-22,Seychelles,2022-09-04,2025-07-31 15:13:09,94.33694689715735,18458.144847169173,Bronze,Clothing,True,False
Jackie,Kline,davidpatton@example.com,001-272-408-2149x6387,1952-06-26,Saudi Arabia,2022-12-22,2025-08-03 11:41:09,25.419531959979317,6660.051518355762,Platinum,Electronics,True,True
Diana,Hatfield,schneiderlisa@example.net,001-345-594-2811x79231,1976-05-16,Nigeria,2024-07-09,2025-01-18 20:59:28,83.17162927985709,46795.894799920745,Silver,Clothing,True,True
Jamie,Nelson,pjackson@example.org,+1-995-258-9078x84170,1999-05-15,Tokelau,2020-11-08,2025-01-04 05:24:44,30.42339598784649,29393.620387827104,Bronze,Clothing,True,True
Annette,Shepard,gortega@example.net,656.723.4480x5350,1944-09-21,Sweden,2022-11-10,2025-03-19 17:26:19,99.117086722637,30768.002608546012,Bronze,Beauty,False,False
Paige,Berry,stanleyjonathan@example.com,001-218-416-3833,1944-12-17,Costa Rica,2022-10-08,2025-07-24 22:43:03,91.8454814138658,1020.5261770474149,Silver,Clothing,False,False
Tyler,Ewing,pblair@example.org,904-353-7671,1959-12-07,Angola,2023-06-26,2025-05-08 22:00:12,21.755577870931003,48196.311402714506,Silver,Beauty,False,True
Carrie,Kramer,colemandavid@example.net,+1-978-791-0706,1950-07-04,Isle of Man,2021-04-22,2025-05-18 03:03:10,9.790886709962734,40591.873044289,Platinum,Home & Garden,False,False
Margaret,Russell,lindsay02@example.com,+1-654-552-1673,1972-09-08,Maldives,2023-10-31,2025-02-19 01:28:37,23.206044940277877,9942.749940185435,Gold,Sports,False,False
Stacey,Patton,felicia11@example.net,882.445.1882x2356,1990-03-21,Mozambique,2024-08-17,2024-11-19 03:47:00,10.507643670761848,27981.139823134592,Bronze,Sports,True,False
Willie,Reed,brian65@example.com,+1-820-949-3199x514,1957-02-28,Guinea,2024-11-24,2024-11-07 07:39:54,28.60307571718088,4030.066159336254,Gold,Books,True,True
Bryan,Nichols,jennifer12@example.net,766-494-5772,2005-09-03,Holy See (Vatican City State),2021-06-27,2025-01-24 19:12:31,22.4386908091179,47839.06704504427,Gold,Electronics,True,True
Kenneth,Pierce,ddavis@example.com,(709)296-3727,1997-08-16,Jordan,2021-04-16,2025-09-05 06:34:57,45.685696079721765,40165.634092951106,Bronze,Clothing,True,False
Roger,Chung,mgarcia@example.com,(693)377-2152,1984-03-18,Maldives,2022-05-13,2025-05-28 20:51:18,15.593495933809788,29191.79520011119,Platinum,Sports,False,False
Patrick,Rhodes,arielcole@example.com,4188924662,1955-12-22,Turkey,2021-07-23,2025-05-10 10:00:14,99.06026149257292,12305.437342504185,Platinum,Beauty,False,True
Sean,Cook,pamhill@example.net,(818)883-4092,1967-04-22,Netherlands,2025-05-06,2024-10-12 18:42:17,77.14375678727474,49955.21137368799,Silver,Home & Garden,False,True
Amber,King,stephenbernard@example.net,(545)553-3535,1992-03-14,United Arab Emirates,2024-01-21,2025-06-29 18:14:11,14.40843776349778,38153.933730862365,Bronze,Clothing,True,False
Dean,Curtis,jenniferjordan@example.net,+1-872-292-6090,1949-12-13,Qatar,2025-01-06,2024-11-01 20:56:44,10.21556265249518,24100.66807726657,Bronze,Food & Beverage,True,True
Ryan,Wilson,kimberlyhiggins@example.com,538-988-8769x64984,1957-06-01,Portugal,2023-10-16,2025-08-20 18:49:33,55.05964833412617,4002.5687309304885,Bronze,Sports,True,True
Eric,Kelly,natashamoore@example.com,627-784-4953x8754,1949-11-12,Ireland,2024-11-16,2025-07-22 23:50:29,85.68873083435912,26642.65923081537,Silver,Home & Garden,False,True
William,Garcia,jeffreytran@example.org,825-856-0827,1964-08-20,Saint Lucia,2023-05-23,2024-12-11 22:52:27,17.439005252609153,9464.496811313547,Bronze,Books,True,False
Rhonda,Knox,sean68@example.com,001-958-439-9341x9451,1968-06-04,Micronesia,2022-06-21,2025-01-27 04:48:37,16.79123995117041,1335.0455149850206,Gold,Electronics,False,True
Victoria,Matthews,bnichols@example.net,(932)364-2888,1987-08-11,Estonia,2021-07-07,2025-01-10 04:35:28,17.40425470091358,14465.638299904633,Silver,Sports,True,False
Kenneth,Gardner,littlekimberly@example.net,745.319.5031,1998-03-12,Saint Martin,2021-07-24,2025-09-03 17:39:39,54.876190463594256,21485.009202134508,Bronze,Beauty,True,False
Jose,Moore,michael18@example.com,001-766-601-7894x1180,1976-06-04,United States Minor Outlying Islands,2022-02-13,2025-08-24 12:52:38,9.739584458965082,5016.257766231172,Platinum,Beauty,True,False
Daniel,Mason,kennethconrad@example.com,(485)732-0490x02755,1962-06-27,Brunei Darussalam,2021-11-24,2025-07-23 09:19:25,44.81190612407752,-33.30575503489263,Gold,Beauty,False,True
Scott,Wilson,wdrake@example.net,(456)483-5089x8827,2000-09-15,Liechtenstein,2024-07-02,2024-12-03 03:50:53,37.61244297590212,15290.004507771542,Gold,Home & Garden,False,False
Cassandra,Griffin,teresarose@example.net,257.900.2811x174,2006-02-22,Congo,2023-07-18,2024-09-24 15:57:41,77.98940399699492,10884.084349725048,Gold,Automotive,False,True
Sarah,Reed,dlopez@example.org,528-375-6929x60222,1982-08-03,Zambia,2025-04-01,2025-05-24 20:43:01,6.827316900963922,1859.5878854224375,Gold,Sports,False,True
Emily,Jones,saundersrussell@example.com,289-706-9074x7476,2003-06-19,Saint Pierre and Miquelon,2021-12-05,2025-09-03 10:32:31,72.8409365146709,28573.53130251483,Bronze,Clothing,False,True
Spencer,Stewart,karinasmith@example.com,528-819-4451,1958-07-31,Serbia,2022-09-17,2024-12-31 21:15:26,37.50155552521485,30860.88526958256,Platinum,Clothing,False,True
Nicole,Garcia,samantha44@example.org,9747571168,1964-04-27,Ukraine,2024-07-12,2024-12-08 05:00:23,80.17660598211351,41842.39166459443,Gold,Automotive,False,True
Travis,Hawkins,ann31@example.net,927.369.9875x21659,2003-05-05,Lao People's Democratic Republic,2022-09-15,2025-08-15 11:09:13,96.51669557018843,28350.080940620133,Bronze,Home & Garden,False,False
Thomas,Mendoza,christopher05@example.net,+1-344-273-2846x520,1985-03-20,Liberia,2024-10-06,2024-12-17 04:39:52,44.33863825019513,46587.68453877034,Silver,Clothing,False,True
Thomas,Vega,lynn21@example.org,687-968-2533x9654,1949-02-17,Barbados,2025-02-24,2025-08-13 19:22:52,93.21605012083542,34269.86743072933,Bronze,Food & Beverage,True,False
Jacqueline,Scott,brittney69@example.com,001-945-840-4728x1248,1992-02-19,Croatia,2024-02-10,2025-08-14 16:50:25,94.7090918790432,41938.39374269472,Silver,Sports,True,True
Christopher,Gates,alane@example.net,+1-234-656-4565,1983-01-18,Canada,2024-10-09,2025-02-07 14:41:12,92.84331189885371,19153.58569866273,Gold,Home & Garden,False,True
Wendy,Moyer,rubenbrennan@example.com,+1-883-353-8081,1987-12-13,French Southern Territories,2020-10-22,2024-10-05 14:33:13,77.20863584847123,2754.367563421484,Platinum,Clothing,True,True
Spencer,Garner,nathan63@example.com,+1-890-424-2904,1974-05-10,Iraq,2022-02-03,2025-02-18 05:27:25,81.33107437134818,12042.173948992486,Bronze,Automotive,True,False
Jack,Jackson,michael24@example.org,677.676.5924,1992-04-29,Dominican Republic,2024-05-30,2024-10-20 17:36:14,52.563884392357416,38399.088227065964,Platinum,Electronics,True,False
Deborah,Sutton,robinmoore@example.org,001-303-577-1661,1981-01-17,Gibraltar,2020-11-01,2025-01-27 20:52:39,61.06396280510842,44362.37084785363,Gold,Books,False,True
John,Castro,ashleybarnett@example.org,+1-248-563-2675x4358,1984-05-07,Finland,2022-04-25,2025-08-21 18:12:37,51.44295600460649,46518.26921977963,Bronze,Home & Garden,False,True
Arthur,Powell,allenbrian@example.com,001-292-531-8825x80044,1984-04-05,Holy See (Vatican City State),2024-09-11,2025-01-31 23:15:30,39.52619121112548,33213.38670481134,Silver,Automotive,True,False
Nathan,Matthews,wallmariah@example.org,+1-308-278-0500x6445,1960-04-16,Iraq,2023-06-01,2025-02-08 18:58:27,68.99582175577227,42144.06342851778,Silver,Automotive,True,False
Brandon,White,sandrajordan@example.net,(978)960-8907,1958-08-21,Montserrat,2024-08-27,2025-01-14 22:43:56,43.52478496273201,46749.44937694631,Bronze,Clothing,False,False
Catherine,Solis,vstrickland@example.com,(760)655-5528x798,1979-03-15,Cayman Islands,2025-06-14,2025-09-01 14:39:52,9.167935624911827,38470.3755132146,Gold,Home & Garden,True,False
Jason,Smith,mark45@example.net,558-572-3752,1982-05-20,Jordan,2021-05-25,2025-05-06 18:48:08,12.155887173287773,9124.227613727458,Silver,Books,False,True
Dorothy,Martinez,schwartzstephanie@example.net,(400)620-2443x471,2006-06-14,Malaysia,2021-08-08,2024-10-31 00:16:43,68.27810372695906,12258.86160237886,Gold,Books,False,False
Robin,Schwartz,michaelacevedo@example.net,571.342.5118,2005-08-02,Lesotho,2023-03-26,2025-09-15 19:58:48,86.5626867857289,28111.06166001687,Silver,Beauty,False,True
Melissa,Curtis,howellkevin@example.net,735-482-5483x21596,1947-01-04,Swaziland,2023-08-17,2025-02-23 02:44:23,11.019327266962087,16429.11318139899,Platinum,Home & Garden,True,True
David,Baldwin,jacob62@example.org,+1-695-577-1861x171,1947-06-03,Tajikistan,2022-09-19,2025-02-03 16:14:06,33.9060595298022,35516.85495671423,Silver,Food & Beverage,True,True
Kyle,Myers,cody25@example.net,(588)236-3477x743,1954-01-13,Gambia,2024-07-26,2025-08-30 14:21:53,83.58158009959712,50501.47154764335,Silver,Home & Garden,True,False
Michael,Harris,lesliejackson@example.com,656.954.8869,1996-07-14,Canada,2023-12-21,2024-11-15 13:10:01,90.45536078977705,27606.974647498762,Silver,Electronics,True,True
Brittany,Pearson,vincentnewton@example.org,(276)691-4458,1973-01-08,Bosnia and Herzegovina,2022-01-14,2025-09-07 14:25:11,44.809559670328404,26787.267702393074,Bronze,Books,False,False
Margaret,Barber,kevinanderson@example.org,904-493-8943x08313,1982-08-24,Guyana,2022-03-26,2025-06-19 13:27:26,95.08776149435542,34294.37937663528,Platinum,Electronics,False,False
Kenneth,Anderson,bryandouglas@example.org,+1-905-536-5927x590,1949-04-01,Sao Tome and Principe,2025-03-22,2024-10-17 19:13:37,65.04000942464354,36409.82477612357,Gold,Sports,False,True
Rebecca,Morris,david22@example.com,368-238-3319x22780,1960-09-23,Cayman Islands,2021-02-19,2024-12-06 16:59:42,4.189898986116363,26061.462935894553,Platinum,Electronics,False,False
Rachel,Singleton,michelle62@example.org,001-715-451-0801x06612,1954-09-14,Switzerland,2023-12-01,2025-05-29 18:14:15,15.713367888501773,27144.81653957204,Bronze,Automotive,True,True
Jessica,Joseph,donald95@example.com,830.223.0165x001,1964-07-28,French Southern Territories,2023-10-02,2025-07-29 08:19:52,45.49446333898055,21605.603859634553,Platinum,Books,False,False
Cindy,Lewis,jjames@example.com,+1-568-786-0090x95958,1993-02-15,Lithuania,2022-10-11,2024-11-03 16:21:41,76.37068440201695,22550.033167068992,Gold,Electronics,True,True
Robert,Butler,michaelschwartz@example.net,(747)650-4151,1953-03-26,Mali,2022-05-22,2024-12-24 17:22:41,61.80052122753276,41064.91861278866,Bronze,Electronics,True,True
Melissa,Bridges,erika64@example.net,201-758-8816,1982-12-18,South Georgia and the South Sandwich Islands,2021-01-14,2025-05-19 12:24:55,2.472794860638418,25530.872335237473,Bronze,Food & Beverage,False,True
Bradley,Phillips,trevor91@example.net,+1-796-607-7214,1972-06-30,Cape Verde,2025-09-07,2025-07-08 00:17:16,20.11316501705413,40677.78897811791,Platinum,Automotive,True,True
Sarah,Carter,traviscole@example.com,001-901-976-7419x12463,1999-08-04,Togo,2024-10-07,2025-02-11 22:49:53,92.69172178032393,11321.24378333388,Silver,Sports,False,False
Erin,Kelly,sally15@example.net,+1-794-622-4697x0704,1997-05-23,Jamaica,2022-01-19,2024-10-22 15:17:36,71.99853930239507,9775.189015437962,Bronze,Automotive,True,False
Angel,Newton,rachelcampos@example.net,001-390-795-7410x73639,1989-12-14,Sri Lanka,2021-07-28,2025-07-16 21:13:27,4.986626336065958,19139.32489374627,Gold,Food & Beverage,False,True
Kyle,Bond,joshua54@example.org,964.360.4134,2005-07-07,Mexico,2024-10-31,2025-08-08 10:34:47,82.4274920079871,12625.168955680321,Bronze,Books,True,True
Sean,Russell,jayphillips@example.com,735-837-6107x293,1966-10-10,Guernsey,2025-07-09,2025-06-15 20:20:17,2.6117698584349744,22325.621027885354,Bronze,Automotive,False,False
Lisa,Pittman,jessedorsey@example.org,001-635-431-6925x68486,1970-12-14,Cayman Islands,2024-05-12,2024-09-17 10:28:49,17.34018065045068,40196.80868927638,Bronze,Clothing,False,False
Matthew,Johnson,wolfealvin@example.org,(616)795-8787x820,1996-07-11,Malta,2021-08-08,2025-08-09 11:43:31,39.483736658084965,20341.721150142814,Platinum,Beauty,True,True
Edward,Gibson,fryjoshua@example.org,001-631-388-7272,1965-12-18,Canada,2023-11-24,2024-11-11 19:03:53,52.245673979665256,38253.795349402826,Platinum,Books,True,False
Brandon,Clark,donnafrye@example.net,555.874.9844x4163,1966-04-26,Saint Kitts and Nevis,2021-12-09,2025-07-27 07:31:55,89.4933639804387,10126.811311351006,Gold,Beauty,True,True
