first_name,last_name,email,phone,date_of_birth,address,city,state,zip_code,country,registration_date,last_login,total_orders,total_spent,loyalty_tier,preferred_category,is_active,marketing_consent
Kristin,Robbins,christopher32@example.org,(812)264-7977x5565,1946-12-10,"599 Espinoza Mall
Tannerstad, CT 12318",Kathyshire,Florida,76298,Brazil,2022-02-18,2025-04-11 18:16:34,99.31899389427568,6473.566585956689,Bronze,Electronics,True,True
Allison,Avery,jacksonraymond@example.com,744-610-0902x745,1994-08-02,"12224 Tony Loaf
North Nicholas, MI 82568",Lake Grantland,Oklahoma,29601,Maldives,2023-09-20,2024-11-20 12:08:27,4.28009379138245,9606.503490243647,Gold,Beauty,True,False
Rebecca,Duncan,joseph36@example.com,+1-668-904-9008x24897,1990-12-30,"USS Williams
FPO AE 87351",Lake Cheyenneborough,Maryland,24269,Jersey,2022-05-14,2025-04-06 16:00:03,37.346263521404865,12813.679835718041,Silver,Books,True,True
Angela,Morris,joannethomas@example.com,694.322.5049,1976-07-28,"01688 Justin Port
New Robin, DE 26440",Reginaldville,South Carolina,29946,Cape Verde,2023-08-28,2025-07-31 10:44:31,48.150270913330914,47571.22429608859,Silver,Home & Garden,True,False
Christopher,King,edward06@example.org,(897)547-6304,1998-04-14,"408 Evans Pine
Deannaland, DE 14424",Martinbury,South Dakota,63918,Greece,2024-06-11,2025-01-16 15:06:22,15.286470426411512,28441.74097221694,Bronze,Clothing,True,False
Brian,Obrien,lchan@example.com,3932306749,2002-03-16,"14945 Booth Square
New Bryanport, IL 50427",Carlsonstad,Missouri,52546,El Salvador,2022-01-02,2024-10-16 08:49:15,78.25810759109315,10985.092530778236,Gold,Automotive,True,False
Cathy,Villanueva,afloyd@example.org,455.773.2579x3947,1995-08-20,"21426 Clarke Road
Reginamouth, OH 62697",West Christopher,Hawaii,25380,Egypt,2023-10-08,2025-05-19 06:59:24,25.53943346085703,46661.75999437128,Silver,Automotive,False,False
Amy,Castillo,tammyhaley@example.net,+1-790-809-4830,1946-06-10,"044 Lisa Station Suite 118
East Tracyberg, LA 89203",West Carmenchester,South Carolina,38391,Saint Kitts and Nevis,2021-08-25,2024-09-22 05:49:08,76.8007444722674,24202.772981811686,Silver,Sports,True,True
Jason,Taylor,julia40@example.org,6359662846,1971-04-15,"4064 Eaton Circle
Lake Omarfort, ME 41074",North Sarah,Louisiana,88721,Timor-Leste,2020-12-04,2024-11-03 06:56:48,4.121200625038675,36812.4405682649,Gold,Food & Beverage,False,True
Peter,Brown,lowegavin@example.org,801-491-8259,1994-02-03,"796 Benson Square Suite 326
Cookbury, DE 46182",Jacksonburgh,South Carolina,18756,Moldova,2023-02-06,2025-05-30 08:10:19,90.85707455043375,45047.020057986105,Platinum,Sports,False,True
Harold,Hayes,amandapierce@example.com,001-930-537-3824x99730,1997-09-07,"8098 Burke Fall
East Timothyshire, MP 40799",New Kimberly,Nevada,13039,Norway,2025-07-08,2025-07-01 22:22:23,43.086896782452534,23131.681703533155,Silver,Automotive,True,False
Cheryl,Smith,matthew16@example.com,447.950.8304x01397,1999-06-21,"Unit 8200 Box 0093
DPO AP 47487",Tracyhaven,South Carolina,07989,Montserrat,2021-03-10,2025-05-05 04:31:24,44.358798922166464,12091.401196828687,Silver,Home & Garden,True,True
Kenneth,Rodgers,nfrost@example.net,(796)987-9941,1989-02-08,"428 Cisneros Vista
Cannonland, CT 29550",South Margaretfort,Utah,02991,Rwanda,2025-01-11,2025-07-18 12:28:20,57.47781936311778,21982.588533760634,Silver,Beauty,True,True
Paul,Wood,tiffanyoliver@example.com,001-871-936-7116x0515,1964-05-16,"4407 William Crossing Suite 429
Juarezfort, NE 76249",North Cory,Massachusetts,30622,Saint Martin,2023-10-30,2024-10-24 07:27:12,42.12747156206361,3994.348916585251,Platinum,Electronics,True,False
Christy,Lewis,michaelthompson@example.com,(838)552-2163,1975-06-25,"Unit 2938 Box 7564
DPO AP 79123",Darrenborough,Pennsylvania,81779,Palestinian Territory,2020-11-30,2024-10-09 10:12:24,85.03244167413186,42737.959336265914,Bronze,Automotive,False,True
Rachael,Meyer,kcalderon@example.net,891-742-4118x7733,1988-05-07,"03367 Taylor Meadows Suite 041
Davidburgh, FM 76165",Port Whitneyburgh,New Mexico,85445,India,2024-01-14,2025-02-06 17:17:24,0.6878224577148808,30557.295948490657,Platinum,Automotive,False,False
Victor,Kerr,mary69@example.net,(956)364-1040,1957-07-16,"876 Stephanie Mountains
Heidifort, AK 14265",South Steven,North Carolina,02806,Iraq,2024-08-26,2025-07-24 04:33:07,98.0751693975747,12832.381726937167,Bronze,Clothing,True,False
Bianca,Lopez,patrick88@example.com,(761)443-3570x82710,1951-07-05,"86651 Bailey Ways
Georgeview, SD 30518",East Russellview,Florida,43556,Guinea,2021-08-16,2025-05-01 08:52:08,31.311110548032666,50446.41919378628,Silver,Clothing,True,False
Eric,Martin,kellysantos@example.net,+1-394-920-0122x943,1948-04-25,"202 Todd Orchard
Codyborough, KY 69453",Port Samanthaport,Iowa,27151,Thailand,2025-06-17,2025-08-25 03:48:55,43.50364417448324,21296.34538689738,Platinum,Home & Garden,False,False
Lisa,Lopez,james95@example.net,203.310.1783x330,1973-04-29,"4443 Robert Inlet
Elizabethville, CA 84751",Gregoryport,Delaware,88185,Guam,2022-12-09,2025-05-27 17:24:29,77.90876548845638,18977.353104575795,Gold,Sports,False,False
Chad,Bennett,wtorres@example.net,447.255.5604,1964-03-12,"0393 Jessica Center Apt. 853
South Danielle, WV 38590",Mistyborough,Idaho,65233,Malta,2021-03-20,2025-08-15 14:14:43,27.757899318219366,28664.448375906784,Silver,Home & Garden,False,True
Kimberly,Hays,michaelbaker@example.net,697.738.6476x6459,1982-06-28,"939 Jamie Viaduct Suite 058
Mosesmouth, DE 22090",Grahamstad,North Carolina,52760,Peru,2020-09-18,2024-11-16 20:23:45,53.45949670075139,34484.45695693169,Gold,Beauty,False,False
Joseph,Brown,zgomez@example.com,411.946.0942x99749,2005-12-06,"0512 Dwayne Fords
New Noahborough, CT 25119",Port Carlos,Texas,16445,Moldova,2023-01-03,2024-12-09 19:58:30,29.53026686930729,7905.858195192678,Silver,Sports,False,False
Thomas,Abbott,christie47@example.org,892-803-1248x10598,1997-02-26,"51769 Carol Harbors
Carlville, MS 74189",Samanthastad,Oklahoma,13200,Kenya,2025-08-16,2025-05-07 17:47:41,24.369310071490915,50008.14144320041,Gold,Sports,False,False
Russell,Ruiz,pbrown@example.com,324.701.6708,2002-01-14,"99123 Paul Spurs
Amymouth, TX 70575",South Tyler,Oregon,97488,Rwanda,2021-04-09,2025-03-10 20:53:37,8.346832565446602,25224.27301584563,Gold,Home & Garden,True,False
Michael,Miller,stacy15@example.com,(285)377-3054x00612,1953-11-27,"16852 Shaw Inlet Apt. 705
West Austinshire, MI 50206",Michelleburgh,Kansas,53236,Norway,2025-01-26,2024-11-21 07:12:57,70.87802642395476,37717.20520031144,Silver,Beauty,True,True
Elizabeth,Morales,rachel57@example.com,(699)958-2680x74739,1989-05-26,"6110 Ferguson Manor
South Dustinville, AL 06314",Lake Amandafurt,Alabama,21287,Central African Republic,2025-08-23,2025-09-07 11:12:15,59.20341208568643,27496.602246166032,Gold,Books,False,True
William,Miller,randy97@example.net,(690)702-4721,2006-01-29,"61785 Martin Forges Apt. 210
South Drew, SD 51907",South Emilybury,Kansas,97036,Switzerland,2024-11-21,2024-11-07 19:19:46,10.948147854854051,15318.725274433991,Bronze,Clothing,True,False
Justin,Johnson,hubbardkaren@example.net,+1-597-474-5714,2003-04-28,"196 Wilson Landing
Nicholasfort, GA 41711",Lake Nichole,Mississippi,13438,Cuba,2021-05-31,2025-04-03 12:23:44,96.23137375609495,33979.022484692985,Gold,Food & Beverage,False,True
Mary,Solomon,wbailey@example.net,(635)968-9496,1953-12-06,"491 Krista Isle
Michaelberg, IA 70660",Alexandrashire,Illinois,87099,Tonga,2021-11-30,2025-02-05 15:34:43,39.51727041910212,38285.84278626132,Bronze,Electronics,False,True
Tara,Watson,lewiskevin@example.net,+1-327-527-4361x751,1956-05-15,"7891 Davis Villages Apt. 949
Baldwinland, MT 74034",South Gregtown,Arkansas,53543,Sri Lanka,2024-01-01,2024-11-16 18:40:13,71.17322920573498,30274.39689140414,Platinum,Sports,False,True
Samantha,Gonzalez,ihill@example.net,(295)382-9034,1951-06-20,"913 Joshua River Suite 938
Littlemouth, DC 94602",West Kathleen,Nevada,91830,Guadeloupe,2021-12-25,2024-09-29 04:21:38,52.43408623294188,27570.22478341854,Gold,Sports,True,True
Donna,Barry,brettmorales@example.net,350.552.7649x2605,1972-11-15,"4231 Baldwin Court
Lake Juanberg, VT 42227",Troyton,Louisiana,26792,Cambodia,2022-02-14,2025-09-14 02:09:41,26.190993987339898,10452.514492671211,Platinum,Automotive,False,False
Dakota,Rodriguez,morgantammy@example.org,208.414.1397,1991-08-07,"PSC 6439, Box 7386
APO AP 03516",West Katrinamouth,New Mexico,03971,Saint Lucia,2024-11-03,2025-03-31 02:45:55,78.78795247953083,44770.19739819229,Bronze,Automotive,False,True
Lance,Martin,garcialawrence@example.com,830-823-2500,1960-12-25,"84466 Hogan Island Suite 025
New Billy, TN 04782",North Jameshaven,Colorado,23994,Gabon,2023-01-23,2025-08-07 23:08:46,18.05358021138424,8996.395377063653,Bronze,Automotive,False,False
Amy,Sheppard,fbush@example.net,(285)412-5595x65038,1983-06-20,"5176 John Fords Apt. 054
Lake Wanda, GU 26363",West Jennifer,New Mexico,50771,Falkland Islands (Malvinas),2022-09-14,2025-08-28 23:57:40,45.98352819826088,5759.0059631368495,Gold,Electronics,True,True
Scott,Quinn,williamhawkins@example.org,001-878-215-5105x78794,1944-11-10,"2241 Charles Station Suite 318
Cindystad, MI 54504",West Brent,New Jersey,52264,Kyrgyz Republic,2023-08-12,2025-02-25 09:00:29,71.54204143679485,29998.583864606444,Silver,Home & Garden,True,False
Lisa,Dickerson,kimberlyking@example.com,908.294.6387x27337,1955-11-27,"099 Brandon Mills Apt. 864
South Meganton, MD 94815",Lake Angelaside,New Hampshire,29676,Armenia,2022-02-07,2025-04-27 13:33:07,20.66694548006605,17106.58553900124,Bronze,Electronics,False,False
Robert,Martinez,amymolina@example.com,+1-857-218-2401x074,1975-10-04,"6265 Ian Station Suite 731
New Josefurt, LA 31196",Davisburgh,Vermont,98799,Sao Tome and Principe,2024-09-14,2025-05-06 14:19:28,34.50955132344733,33886.02988148839,Silver,Electronics,True,True
Karen,Liu,regina84@example.net,238-596-6434,1998-08-16,"USS Baker
FPO AP 05820",Port Scottfort,Alaska,84370,Luxembourg,2022-01-05,2025-07-27 17:49:07,30.68927015961425,32528.7727379904,Bronze,Electronics,True,False
Daniel,Hatfield,andersonbrenda@example.org,232-995-0620x93614,1978-05-04,"6853 Angela Locks Suite 455
Garciaberg, PW 57346",Hubbardberg,Illinois,50995,Saint Kitts and Nevis,2022-09-10,2024-10-13 07:46:50,70.17547165768008,13026.376501754658,Platinum,Books,True,True
Christina,Herrera,lisa97@example.org,+1-258-692-2338x2769,1950-10-19,"6046 Patel Bridge Suite 072
North Amanda, MN 02352",North Amanda,Maryland,25884,Mayotte,2024-09-09,2025-04-24 17:59:33,14.396470754137033,45667.96403963038,Silver,Home & Garden,False,False
Jose,Atkinson,aliciakerr@example.net,(526)457-8292x29593,1971-05-21,"23218 Maynard Divide Suite 910
Jenniferstad, VT 52439",Sotoburgh,Tennessee,60814,Pakistan,2021-11-19,2024-10-27 15:08:37,79.32588403111906,48060.77287056917,Bronze,Food & Beverage,False,False
Christine,Thomas,vgibson@example.org,+1-314-302-9146x1561,1969-09-22,"6574 Christine Crossroad Apt. 733
Jessicaton, PA 40978",North Kelly,Delaware,76115,Mayotte,2021-04-12,2025-01-11 18:47:17,83.76360194536475,20891.078355423488,Bronze,Books,False,False
Veronica,Page,urobertson@example.net,(346)478-6622,1991-07-09,"563 Alvarez Drives Suite 884
Lake Matthewfurt, WI 47744",New Amandaberg,Texas,78509,Dominica,2025-07-17,2025-05-04 22:53:31,96.48001649807979,30329.09361815752,Bronze,Home & Garden,False,True
Miranda,Bennett,joshua92@example.net,600.842.5561x71887,1998-09-06,"55006 Woods Terrace
Port Mallory, SD 92798",Anthonyberg,Louisiana,03691,British Virgin Islands,2023-09-21,2024-10-20 06:04:10,32.833808803802924,46231.08699959364,Gold,Home & Garden,True,True
Julie,Byrd,joystewart@example.org,313-381-1484x7992,1978-01-09,"5886 Kristin Points
New Stephanie, HI 11980",Josephberg,Missouri,70062,Martinique,2022-11-11,2024-11-30 22:26:43,87.43154908418893,16492.368137055055,Gold,Beauty,False,True
Susan,Kelly,rachelalvarado@example.org,(627)468-6433x71724,1956-07-04,"345 Stewart Village
Kingchester, PA 11849",South Heathershire,Vermont,88278,France,2024-12-03,2025-07-15 18:10:58,96.95484481048773,8575.422594890406,Bronze,Automotive,False,False
Maurice,Rose,jason27@example.com,001-808-764-1034x1654,2004-07-20,"25656 Jaime Fords Suite 014
Olsonport, VI 54116",West Kimberly,Texas,69882,Paraguay,2022-08-06,2025-09-06 10:18:04,67.69941311092862,24965.58564553435,Silver,Beauty,True,True
Jessica,Wilson,lori29@example.net,001-463-883-8030x4891,1994-02-07,"6021 Patricia Forks Suite 974
Lake Clayton, IL 13682",East Corychester,Florida,68742,Fiji,2021-05-03,2025-05-24 06:24:40,71.66051978769983,1040.9254979451339,Bronze,Clothing,True,False
Heather,Williams,mercadogary@example.org,+1-449-759-8707x4640,1974-10-31,"62491 Farmer Inlet
Campbellfurt, VA 95303",Tylerland,Montana,20298,Falkland Islands (Malvinas),2023-06-01,2025-08-09 02:38:57,22.73884440488705,18395.0513292131,Bronze,Clothing,False,False
Angie,Maxwell,tracy68@example.net,+1-462-292-3064x15821,1973-04-10,"5637 Michael Run Apt. 750
Curtisport, CA 49999",Josephchester,Illinois,82447,Burkina Faso,2021-04-30,2025-04-30 08:41:01,60.83851935647118,24511.20592464474,Silver,Electronics,False,True
Monica,Anderson,danderson@example.net,(881)753-1704x999,1945-06-08,"093 Wright Circle Suite 823
New Donnaborough, PR 48912",West James,West Virginia,29564,Saint Barthelemy,2025-05-22,2024-11-20 21:20:29,100.96217689452973,11550.634359556152,Bronze,Sports,False,True
Melissa,Torres,jimmyhughes@example.com,621-921-8454x00762,1992-05-15,"29280 Chandler Lock Apt. 643
East Lisa, AS 05654",West Andreahaven,Mississippi,12256,Afghanistan,2022-08-09,2025-05-28 00:34:59,78.11497216441599,7940.066997311445,Platinum,Automotive,True,False
Christine,Lee,rduncan@example.com,5884771479,1983-05-06,"414 Lance Mission
Jasonmouth, CO 28345",Davidbury,Pennsylvania,56556,Switzerland,2021-06-05,2025-02-27 02:59:39,7.775842573392284,13237.336089449742,Gold,Electronics,False,False
Denise,Rios,rodriguezbrian@example.org,619.758.9466x06655,1986-10-13,"037 Edward Parks Apt. 234
East Christopherborough, SC 46353",Jensenberg,Oklahoma,16269,Uganda,2021-02-15,2025-03-20 15:56:12,2.4643681555674424,4611.968398743779,Gold,Books,False,True
Bruce,Wood,christopherbryant@example.com,(387)418-4746x51770,1958-07-21,"760 Dawson Crossroad
Kimhaven, KS 94270",Thomasfort,Pennsylvania,12338,Mauritius,2021-07-20,2025-03-01 02:04:41,60.51170600539896,8632.224178389088,Bronze,Clothing,False,True
James,Long,davidevans@example.org,001-264-367-8334,2002-03-12,"9681 Michael Track
South Alyssaville, NV 77494",West Robertville,Wisconsin,11789,El Salvador,2025-09-07,2024-09-30 18:22:03,93.92458019360619,18282.56021897325,Bronze,Electronics,True,True
Curtis,Bradley,amyjones@example.org,(558)755-1722x10290,1946-09-12,"71622 Wheeler Manor
East Kimberly, GU 45374",Smithville,Ohio,05483,Gabon,2024-07-26,2025-09-10 03:36:59,38.83986898751532,3414.3452800922314,Gold,Automotive,True,False
Gary,Miller,philipduncan@example.net,763-891-8359,1986-05-12,"86320 Monique Rapids Apt. 763
Alexanderport, OR 18759",Blackwellburgh,California,79886,South Georgia and the South Sandwich Islands,2024-09-27,2025-09-03 02:32:50,89.10829527390459,1441.4303095330654,Gold,Books,True,True
Wayne,Wilson,cparker@example.com,316.446.6839,1992-04-29,"4453 Carter Highway
New Gabriel, CO 51219",Sharichester,New York,44409,Haiti,2024-02-16,2024-11-05 04:35:20,52.83798604917787,36394.452244621985,Platinum,Food & Beverage,False,False
Justin,Lopez,fjohnson@example.org,001-268-963-8615x9401,1988-08-11,"Unit 6341 Box 4788
DPO AE 18227",Mclaughlinport,Kansas,05330,Barbados,2023-01-25,2025-01-11 10:44:48,34.34612160355992,38735.76385161783,Bronze,Electronics,True,False
Robert,Scott,tnelson@example.com,(868)761-7890x3187,1969-04-27,"4489 Thompson Run
West Johnport, MO 07031",New Jason,California,37395,Somalia,2022-07-05,2025-05-20 12:16:50,58.9693964174242,21030.26231930661,Gold,Beauty,True,True
Leah,Perez,harriskathryn@example.org,(955)332-0771x929,1953-10-31,"6956 Cassandra Burgs
South Heather, SD 82796",West Rebekahmouth,Iowa,42504,Ecuador,2022-04-14,2025-09-08 02:01:26,85.1606570050549,25839.984156417868,Bronze,Electronics,False,True
Robert,Butler,jose41@example.com,494-313-3255x1189,1946-04-25,"579 Kimberly Vista
North Beckyberg, VI 62854",New Jay,Connecticut,56160,Mayotte,2024-02-12,2025-04-23 01:49:47,89.83751231187249,1660.4468965563547,Silver,Books,False,True
Richard,Wilson,renee37@example.org,(429)667-9534x79792,1948-02-20,"158 James Island
Grayshire, MT 82327",North Kevin,South Dakota,68115,Mongolia,2024-10-14,2025-02-16 19:41:56,50.790602611752234,9207.55186369259,Gold,Beauty,True,False
Steven,Avila,anthonyhernandez@example.org,766-421-8600x97617,1998-01-30,"182 Gomez Trafficway
Farrellport, ME 76142",Lynchport,Nebraska,46030,New Zealand,2023-09-30,2025-09-11 08:07:39,96.76840612058817,14331.06301770208,Bronze,Beauty,False,False
George,Harris,vgarcia@example.org,001-265-400-7583x61554,2004-02-18,"7325 Jennifer Heights
Harrisfort, PW 07499",Amyborough,Ohio,60536,Lebanon,2020-10-28,2024-12-01 11:53:39,62.63120320149149,24157.99556923553,Silver,Sports,False,False
David,Hernandez,smueller@example.com,725.678.3684,1977-06-27,"2463 Lori Trail Suite 510
Juanfort, WI 15499",Smithborough,Wisconsin,59890,Philippines,2021-10-05,2025-03-01 02:15:23,63.11859240877322,49883.0810184734,Silver,Books,False,False
Stephanie,Kennedy,thomas31@example.net,2395349428,1971-12-17,"39871 Black Ford Apt. 363
Port Bryanshire, SC 23174",Thomasborough,Oregon,16968,Cote d'Ivoire,2025-08-18,2024-12-26 07:45:46,17.675875079808357,44395.539134999206,Bronze,Clothing,True,True
Christopher,Phillips,gomezmargaret@example.com,001-620-971-8941x3543,1958-04-09,"PSC 6159, Box 2332
APO AE 82755",Millerborough,Mississippi,50070,Central African Republic,2022-08-24,2025-06-24 06:43:19,74.27991548607936,46404.268651274295,Bronze,Clothing,False,True
Dawn,Wright,ugraham@example.net,(721)631-2390x769,1999-12-07,"796 Zachary Estates
North Traciton, MS 16489",Port Arthurbury,Maryland,92687,Djibouti,2025-07-24,2025-08-22 14:50:25,71.04538025144996,28739.11873116229,Gold,Electronics,False,True
Mary,Wade,tmcknight@example.com,001-563-578-3148x2434,1949-09-28,"751 Ariana Mills
Maryfort, AK 97211",Lake Melissa,Utah,61027,Ghana,2024-06-15,2024-10-15 23:25:46,26.311662580923944,33337.22604786413,Bronze,Automotive,True,False
Jeffrey,Stein,ryan61@example.org,(238)896-1378,1965-03-31,"875 Powell Field Suite 047
New Benjamin, OH 67369",Ronaldberg,Virginia,74653,Ecuador,2023-10-26,2025-03-03 12:42:39,31.98008750839636,1260.971008811004,Gold,Clothing,True,True
Melody,Faulkner,vdixon@example.org,(231)279-0479x5000,1975-11-16,"931 Chad Cove Suite 667
Shannonview, DC 70866",South Sarahhaven,Maryland,44855,Solomon Islands,2023-03-10,2025-05-28 08:05:04,19.48194744293625,8027.67156716139,Bronze,Food & Beverage,False,True
Holly,Diaz,pcabrera@example.net,3989519364,1986-10-09,"4052 Allen Lodge Suite 606
Williamsstad, MO 91058",Port Donaldville,South Dakota,60538,Cocos (Keeling) Islands,2022-11-10,2025-02-09 17:56:51,19.047943389717034,13246.200798594598,Bronze,Automotive,True,True
Scott,Bell,brian10@example.org,875-287-3917x1442,2000-04-07,"337 Smith Trace
New Sharon, MI 37681",Jameschester,Virginia,12895,Swaziland,2025-01-30,2025-03-09 17:38:34,52.368731711970476,8261.445492626775,Bronze,Clothing,False,False
Francisco,Jordan,qvaughn@example.net,817.759.4856,1999-07-08,"8322 Dean Parkways
Mitchellshire, MO 28163",Sandrahaven,West Virginia,77456,Iceland,2024-05-24,2025-01-01 06:19:15,75.50957870195364,4063.6547839314007,Platinum,Clothing,True,True
Justin,Butler,stevenpetersen@example.com,001-269-472-7352x0854,1944-11-18,"8674 Young Turnpike
Lewisborough, MT 91157",Huangville,California,63707,Sri Lanka,2024-01-03,2025-07-07 17:32:39,55.20151239768301,43885.298494060975,Bronze,Food & Beverage,True,True
Julie,Dunn,renee58@example.com,(612)905-0096x6790,1946-04-25,"2509 Williams Extensions Suite 616
West Gregory, MS 00789",Port Linda,Texas,72788,Zimbabwe,2023-09-11,2024-10-30 12:18:08,68.7794160641195,32857.09490455153,Bronze,Automotive,False,True
Anna,Lowery,caseoscar@example.net,500.442.5202x8330,1979-11-04,"46733 Matthew Neck Suite 112
East Courtney, KY 60407",Marcusmouth,Rhode Island,04194,Montserrat,2024-12-24,2025-05-15 23:51:32,0.7134137016828057,26821.445814580544,Silver,Automotive,False,True
Michael,Castillo,jonathangill@example.net,+1-221-633-8746x99669,2006-08-14,"286 Aaron Place Apt. 198
Lake Mariamouth, VT 62823",Moranport,Delaware,33323,Hungary,2024-01-12,2025-04-18 23:55:32,82.28698717486814,22959.83414594052,Gold,Electronics,False,False
Kathleen,Bailey,slarson@example.net,001-534-706-6865x1414,1994-11-06,"84031 Caitlyn Rapids
West Robin, RI 07836",Lake Erika,New Jersey,13271,Aruba,2023-03-26,2025-02-09 08:01:30,42.61189995292668,12997.408834865279,Bronze,Books,False,False
Ashley,Chan,stricklandlinda@example.net,944.282.4860x85499,1992-04-15,"1088 Debra Lodge Suite 153
Williamsfurt, MO 11249",Lake Kenneth,Iowa,05219,Kenya,2022-06-18,2024-09-24 10:04:25,53.9047056537306,38524.222126965615,Silver,Automotive,False,True
Meghan,Riley,andrewrivas@example.com,+1-667-352-3844x231,1968-11-01,"6454 Shelly Summit
New Stephaniefurt, NH 29998",New Kevin,Michigan,84859,Poland,2024-03-23,2024-12-25 01:48:46,56.90889976348336,5454.219874599068,Gold,Home & Garden,True,True
